1;CS;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard
2;CyclomaticComplexity ;0.717663758724314;0.26146838194655;0.581924576166576;0.393158225925575;0.883916191437997;8.89656497147127e-06;0.766484034044546;0.734428315558158;0.935007180489003;0.367819264607966
3;NPathComplexity ;0.668332041782339;0.239047317801593;0.229880754267248;0.267489213474354;0.898955920961153;0.0981636232280736;0.568730022696276;0.758567197250532;0.970784177133443;0.272560090518813
4;ExcessiveMethodLength ;0.536006311623425;0.360078108720856;0.308641425664952;0.371905721349276;0.886780890893896;0.0120037120445799;0.525170047250304;0.682469478771496;0.121890840787556;0.0675803513889463
5;ExcessiveClassLength ;0.196586205309939;0.315202043072499;0.598603519400223;0.347748364014048;0.733587554014739;0.0156371037167612;0.876326206381664;0.463915033866132;0.664179454740554;1
6;ExcessiveParameterList ;0.275483506897341;1;1;0.234582937297606;0.76314309196496;1;0.198595517729591;1;0.0369460507199174;0.0243062936644854
7;ExcessivePublicCount ;0.812458414682524;0.47591324027172;0.311163949585697;0.200479027451033;0.775320244707569;0.703380215686274;0.672851138243933;1;0.886830139837835;1
8;TooManyFields ;0.958757739618854;0.170285833439864;1;0.349014885587205;0.796684551122967;0.474397967525971;0.501241270768257;1;0.820740181736944;1
9;TooManyMethods ;0.88483664348832;0.151560368006785;0.338300722649819;0.063159169346367;0.630882217608423;0.167531630165989;0.317629917853645;0.436813576383;0.851737497277686;1
10;TooManyPublicMethods ;0.087067488667041;0.365443372142077;0.769746938936045;0.911106893142788;0.89356287425393;0.169791816448421;0.335918834846506;0.600196235154342;0.408673408261438;0.291699464539411
11;ExcessiveClassComplexity ;0.392274756334342;0.574541137421146;0.846164973309224;0.480369780975452;0.851953877208559;0.185750263927896;0.854243156017828;0.544151507070862;0.0139860723089171;0.20749828288503
12;NumberOfChildren ;0.101378899231434;1;1;1;0.367439617123204;0.0114091540571792;0.704320468219873;1;0.203382198215267;0.76819461134227
13;DepthOfInheritance ;1;1;1;1;1;1;1;1;1;1
14;CouplingBetweenObjects ;0.169277730830383;1;1;0.555363274746248;0.760406881450765;0.879062164110857;0.976999304429139;1;0.054156155177008;0.902701912367781
15;DevelopmentCodeFragment ;0.00570845652231384;0.32121180141593;0.209446952335381;1;0.809017924508118;0.502097005161279;1;1;0.625645335829051;1
16;UnusedPrivateField ;0.899010712924229;1;0.361961707868999;1;0.597491931926526;1;0.655672096086493;1;1;1
17;UnusedLocalVariable ;0.89644206171513;0.336855428003114;0.146297832501396;0.789962065684076;0.99869343891076;0.000275311253741511;0.484884719153839;0.626806519652767;0.0100384782938539;0.224027934444028
18;UnusedPrivateMethod ;0.646105700673181;1;1;1;0.57132010865281;0.393923776612833;0.602045539100344;1;0.410072603379935;1
19;UnusedFormalParameter ;0.929166718411236;0.250067514267852;0.022881225930007;0.997396735510083;0.938408128068222;0.000106896923453274;0.163386749876217;0.310542496198922;0.277018559657947;0.745231079827223
20;embed.JS ;0.628453403534683;0.602018935900563;0.819264747810839;0.36845921170328;0.987237352256148;0.199442571516816;0.773689243029674;0.136250012709636;0.050482742904003;1
21;inline.JS ;0.821716920749542;0.839950888236165;0.927263001720094;0.424256572469211;0.561303897396029;0.201354566491816;0.770890962255754;0.099514149654291;0.0522799893773642;1
22;embed.CSS ;0.952088808561726;1;0.469020388987548;0.262481514782509;0.383041016997341;4.80008085952833e-05;0.73146925200017;1;0.0679457315773553;0.477953140405242
23;inline.CSS ;0.936175454549937;0.728057611527808;0.932341504927475;0.610669504757176;0.894893443420626;0.0665715053135883;0.955105403748007;0.105203660394151;0.0376835726407533;0.414606529977887
24;css.in.JS ;0.496666032380473;0.559532541272431;0.92610264019223;0.623915941677152;0.978538116209938;0.587838489387577;0.354199807425011;0.459290252178568;0.457784339526957;0.893987367142034
25;css.in.JS..jquery ;0.87458574087624;0.803607169018426;0.944675846241693;0.272189227241898;0.925340919006425;0.0918818341552939;0.00227408183644413;0.167891491843228;0.12709993147655;0.934981821634608
26;max.lines ;0.703913496265067;0.858156115895081;0.496404293847805;0.902826172250989;0.978198792542366;5.43389532358054e-07;0.749043880280178;0.592271808378156;0.854519945357249;0.37154839487782
27;max.lines.per.function ;0.847173138206661;0.477739466519925;0.0899155176011362;0.150741532399043;0.980095333390422;0.543974111943103;0.464222187816608;0.545210757469247;0.600526813265759;0.46587154668205
28;max.params ;0.979936443436427;0.278468678840663;0.804613709285935;0.259773222486503;0.151002775482341;0.727264176867304;0.194725093703203;0.27433047202462;0.56263986381069;0.617971916943638
29;complexity ;0.979905599164582;0.339224282785044;0.832466556919408;0.252979820023408;0.19456238166422;0.967210827566009;0.108609260904666;0.487537941811526;0.245206736856771;0.662462439300947
30;max.depth ;0.972227132084102;0.873904478182654;0.900054961388608;1;0.887303803258142;0.00621896369027543;0.012515066446306;0.264571363065821;0.283823915256346;0.628949477690674
31;max.nested.callbacks ;0.97578837729467;1;0.0243915047448786;0.285847871991896;0.426886358614041;0.0119328884070399;0.564714872131364;0.358971460807608;0.018755622939532;0.413448562050935
