Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;2.0.0;2002-04-04;11;41;6;152;0;0
2;2.0.1;2002-05-20;11;42;7;155;0;0
3;2.0.2;2002-08-08;11;42;7;159;0;0
4;2.0.3;2002-09-28;11;42;8;183;0;0
5;2.0.4;2003-01-15;11;43;9;233;0;0
6;2.0.5;2003-06-15;11;43;10;258;0;0
7;2.0.6;2003-08-03;11;43;11;258;0;0
8;2.0.7;2004-03-13;11;43;12;74;0;0
9;2.0.8;2004-03-25;11;43;13;74;0;0
10;2.0.8a;2004-03-28;11;43;13;74;0;0
11;2.0.9;2004-07-11;11;43;14;74;0;0
12;2.0.10;2004-07-17;11;43;15;74;0;0
13;2.0.11;2004-11-18;11;43;16;74;0;0
14;2.0.12;2005-02-21;11;43;7;78;0;0
15;2.0.13;2005-02-27;11;43;7;78;0;0
16;2.0.14;2005-04-18;11;43;7;78;0;0
17;2.0.15;2005-05-13;11;43;7;78;0;0
18;2.0.16;2005-06-28;11;43;7;78;0;0
19;2.0.17;2005-08-08;11;43;7;78;0;0
20;2.0.18;2005-10-31;11;43;7;78;0;0
21;2.0.19;2005-12-30;11;43;7;78;0;0
22;2.0.20;2006-04-05;11;43;7;78;0;0
23;2.0.21;2006-05-30;11;43;7;79;0;0
24;3.0.0;2007-12-12;67;407;7;587;28;0
25;3.0.1;2008-04-08;65;408;7;586;28;0
26;3.0.2;2008-07-10;65;408;7;586;28;0
27;3.0.3;2008-11-12;65;412;7;589;28;0
28;3.0.4;2008-12-13;65;412;7;591;28;0
29;3.0.5;2009-05-31;65;417;7;599;28;0
30;3.0.6;2009-11-17;78;431;7;644;28;0
31;3.0.7;2010-02-28;78;431;7;643;28;0
32;3.0.8;2010-11-19;85;433;7;643;28;0
33;3.0.9;2011-07-10;85;431;7;643;28;0
34;3.0.10;2012-01-02;85;432;6;643;28;0
35;3.0.11;2012-08-20;85;432;6;643;28;0
36;3.0.12;2013-09-28;85;432;6;643;28;0
37;3.1.0;2014-10-28;69;343;5;672;31;32
38;3.1.1;2014-11-01;69;343;5;672;31;32
39;3.1.2;2014-11-25;69;343;5;672;31;32
40;3.1.3;2015-02-01;69;343;5;672;31;32
41;3.1.4;2015-05-03;69;343;5;661;31;33
42;3.1.5;2015-06-14;71;343;5;661;31;33
43;3.1.6;2015-09-05;71;343;5;661;31;33
44;3.1.7;2015-12-19;71;343;5;662;31;33
45;3.1.8;2016-02-18;71;343;5;665;31;33
46;3.1.9;2016-04-16;71;343;5;665;31;33
47;3.1.10;2016-10-02;71;343;5;666;31;33
48;3.2.0;2017-01-07;42;205;2;380;21;47
49;3.2.1;2017-07-16;42;203;2;380;21;47
50;3.2.2;2018-01-07;42;203;2;380;22;47
