Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;1.0.0;2014-04-05;308;190;81;19;3;8;14;17;37;54;1;0;5;6;3;77;12;78
2;1.0.1;2014-05-09;309;190;81;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78
3;1.0.2;2014-07-20;310;191;81;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78
4;1.0.3;2014-09-29;313;192;82;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78
5;1.0.4;2014-12-18;313;193;82;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78
6;1.0.5;2015-01-23;313;193;82;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78
7;1.1.0;2015-02-07;278;168;72;12;1;6;12;11;33;46;1;0;3;5;0;53;4;65
8;1.1.1;2015-03-16;278;170;74;12;1;6;12;11;33;46;1;0;3;5;0;53;4;64
9;1.1.2;2015-06-05;280;171;74;12;1;6;12;11;33;46;1;0;3;5;0;52;4;64
10;1.1.3;2015-09-10;282;173;75;13;1;6;12;11;33;47;1;0;3;5;0;55;4;64
11;1.1.4;2015-12-23;284;174;75;12;1;6;12;11;33;47;1;0;3;5;0;55;4;64
12;1.1.5;2016-04-19;285;176;76;12;1;6;12;11;33;47;1;0;3;5;0;55;4;65
13;1.2.0;2016-05-21;299;192;82;15;1;6;12;13;36;50;1;0;5;5;0;65;4;65
14;1.2.1;2016-07-26;302;194;82;15;1;6;12;13;36;50;1;0;5;5;0;67;4;66
15;1.2.2;2016-09-28;303;195;82;15;1;6;12;13;36;50;1;0;5;5;0;68;4;66
16;1.2.3;2016-11-28;304;195;82;15;1;6;12;13;36;50;1;0;5;5;0;70;4;66
17;1.2.4;2017-03-10;304;196;82;15;1;6;12;13;36;50;1;0;5;5;0;70;4;66
18;1.2.5;2017-04-28;305;196;82;15;1;6;12;13;36;50;1;0;5;5;0;70;4;66
19;1.3.0;2017-06-26;314;198;84;15;1;6;13;13;37;52;1;0;5;5;0;76;4;65
20;1.3.1;2017-09-04;315;200;83;15;1;6;13;13;37;53;1;0;5;5;0;78;4;67
21;1.3.2;2017-10-30;316;200;83;15;1;6;13;13;37;53;1;0;5;5;0;78;4;67
22;1.3.3;2017-11-08;316;200;83;15;1;6;13;13;37;53;1;0;5;5;0;78;4;67
23;1.3.4;2018-01-14;316;200;83;15;1;6;13;13;37;53;1;0;5;5;0;79;4;67
24;1.3.5;2018-03-15;317;200;83;15;1;6;13;13;37;53;1;0;5;5;0;79;4;67
25;1.3.6;2018-04-11;319;202;83;15;1;6;13;13;37;53;1;0;5;5;0;80;4;67
26;1.3.7;2018-07-27;319;202;83;15;1;6;13;13;37;53;1;0;5;5;0;80;4;67
27;1.3.8;2018-10-26;319;203;83;15;1;6;13;13;37;53;1;0;5;5;0;79;4;67
28;1.3.9;2019-03-31;319;203;83;15;1;6;13;13;37;53;1;0;5;5;0;78;4;67
29;1.3.10;2019-08-28;319;204;83;15;1;6;13;13;37;52;1;0;5;5;0;78;4;67
30;1.4.0;2019-11-09;344;218;90;16;1;6;14;14;39;54;1;0;6;5;0;44;4;95
31;1.4.1;2019-11-22;346;218;90;16;1;6;14;14;39;54;1;0;6;5;0;44;4;95
